,Comments,Tokens,Filtered Tokens,Stemmed Filtered Tokens,Lemmatized Filtered Tokens,Afinn Score of Lem,Afinn Overall Score of Lem,Afinn Sentiment,Bing Positive Tokens,Bing Positive count,Bing Negative Tokens,Bing Negative count,Bing Score,Bing Sentiment,Unknown Tokens
0,i will not pay any money in future please keep in mind  because you guys no right to call my reference number that's why i will not pay any money in future keep in mind  my phone is available 24 hours whatever you want to do it do i don't care why you call to my reference number without my information next time if you done same mistake don't expect money in future from me keep in mind whatever you want to talk to me not to my reference number ok,"['i', 'will', 'not', 'pay', 'any', 'money', 'in', 'future', 'please', 'keep', 'in', 'mind', 'because', 'you', 'guys', 'no', 'right', 'to', 'call', 'my', 'reference', 'number', 'that', 's', 'why', 'i', 'will', 'not', 'pay', 'any', 'money', 'in', 'future', 'keep', 'in', 'mind', 'my', 'phone', 'is', 'available', '24', 'hours', 'whatever', 'you', 'want', 'to', 'do', 'it', 'do', 'i', 'don', 't', 'care', 'why', 'you', 'call', 'to', 'my', 'reference', 'number', 'without', 'my', 'information', 'next', 'time', 'if', 'you', 'done', 'same', 'mistake', 'don', 't', 'expect', 'money', 'in', 'future', 'from', 'me', 'keep', 'in', 'mind', 'whatever', 'you', 'want', 'to', 'talk', 'to', 'me', 'not', 'to', 'my', 'reference', 'number', 'ok']","['future', 'mind', 'guys', 'reference', 'future', 'mind', '24', 'hours', 'care', 'reference', 'mistake', 'expect', 'future', 'mind', 'talk', 'reference']","['futur', 'mind', 'guy', 'refer', 'futur', 'mind', '24', 'hour', 'care', 'refer', 'mistak', 'expect', 'futur', 'mind', 'talk', 'refer']","['future', 'mind', 'guy', 'reference', 'future', 'mind', '24', 'hours', 'care', 'reference', 'mistake', 'expect', 'future', 'mind', 'talk', 'reference']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 0.0, -2.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,['mistake'],1,-1,negative,"['future', 'mind', 'guy', 'reference', 'future', 'mind', '24', 'hours', 'care', 'reference', 'expect', 'future', 'mind', 'talk', 'reference']"
1,"customer service num not response, my repayment fr every month advance paided, during corona lock down issue related, so my loan amount paid take time, 31 st may my loan amount paided, bt penalty charges pending, i will try customer support officer no one response my call,","['customer', 'service', 'num', 'not', 'response', 'my', 'repayment', 'fr', 'every', 'month', 'advance', 'paided', 'during', 'corona', 'lock', 'down', 'issue', 'related', 'so', 'my', 'loan', 'amount', 'paid', 'take', 'time', '31', 'st', 'may', 'my', 'loan', 'amount', 'paided', 'bt', 'penalty', 'charges', 'pending', 'i', 'will', 'try', 'customer', 'support', 'officer', 'no', 'one', 'response', 'my', 'call']","['customer', 'service', 'num', 'response', 'repayment', 'month', 'advance', 'paided', 'corona', 'lock', 'issue', 'amount', 'paid', '31', 'amount', 'paided', 'penalty', 'charges', 'pending', 'customer', 'support', 'officer', 'response']","['custom', 'servic', 'num', 'respons', 'repay', 'month', 'advanc', 'paid', 'corona', 'lock', 'issu', 'amount', 'paid', '31', 'amount', 'paid', 'penalti', 'charg', 'pend', 'custom', 'support', 'offic', 'respons']","['customer', 'service', 'num', 'response', 'repayment', 'month', 'advance', 'paided', 'corona', 'lock', 'issue', 'amount', 'pay', '31', 'amount', 'paided', 'penalty', 'charge', 'pending', 'customer', 'support', 'officer', 'response']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.0, -2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]",[-1.0],negative,['support'],1,"['issue', 'penalty']",2,-1,negative,"['customer', 'service', 'num', 'response', 'repayment', 'month', 'advance', 'paided', 'corona', 'lock', 'amount', 'pay', '31', 'amount', 'paided', 'charge', 'pending', 'customer', 'officer', 'response']"
2,"please don't download this app this app , they will threatened you if u miss the payment , show all ur contact number and says that they will send a reminder about your loan ,","['please', 'don', 't', 'download', 'this', 'app', 'this', 'app', 'they', 'will', 'threatened', 'you', 'if', 'u', 'miss', 'the', 'payment', 'show', 'all', 'ur', 'contact', 'number', 'and', 'says', 'that', 'they', 'will', 'send', 'a', 'reminder', 'about', 'your', 'loan']","['download', 'threatened', 'payment', 'contact', 'send', 'reminder']","['download', 'threaten', 'payment', 'contact', 'send', 'remind']","['download', 'threaten', 'payment', 'contact', 'send', 'reminder']","[0.0, -2.0, 0.0, 0.0, 0.0, 0.0]",[-2.0],negative,[],0,['threaten'],1,-1,negative,"['download', 'payment', 'contact', 'send', 'reminder']"
3,what the hell is this once i get 1000 loan from this app and when i apply second time there are showing a message that you are not match our criteria what the ffffffkkkkkk,"['what', 'the', 'hell', 'is', 'this', 'once', 'i', 'get', '1000', 'loan', 'from', 'this', 'app', 'and', 'when', 'i', 'apply', 'second', 'time', 'there', 'are', 'showing', 'a', 'message', 'that', 'you', 'are', 'not', 'match', 'our', 'criteria', 'what', 'the', 'ffffffkkkkkk']","['apply', 'message', 'match', 'criteria', 'ffffffkkkkkk']","['appli', 'messag', 'match', 'criteria', 'ffffffkkkkkk']","['apply', 'message', 'match', 'criteria', 'ffffffkkkkkk']","[0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['apply', 'message', 'match', 'criteria', 'ffffffkkkkkk']"
4,"after making pre closure for all my loan, still have not closed the loan and asking for emi really frustrating i would suggest all my friends to never use this app","['after', 'making', 'pre', 'closure', 'for', 'all', 'my', 'loan', 'still', 'have', 'not', 'closed', 'the', 'loan', 'and', 'asking', 'for', 'emi', 'really', 'frustrating', 'i', 'would', 'suggest', 'all', 'my', 'friends', 'to', 'never', 'use', 'this', 'app']","['pre', 'closure', 'emi', 'frustrating', 'friends']","['pre', 'closur', 'emi', 'frustrat', 'friend']","['pre', 'closure', 'emi', 'frustrate', 'friends']","[0.0, 0.0, 0.0, -2.0, 0.0]",[-2.0],negative,[],0,['frustrate'],1,-1,negative,"['pre', 'closure', 'emi', 'friends']"
5,i requested them to call me acc to rbi guidelines . although they are not picking the call. my emi date is coming,"['i', 'requested', 'them', 'to', 'call', 'me', 'acc', 'to', 'rbi', 'guidelines', 'although', 'they', 'are', 'not', 'picking', 'the', 'call', 'my', 'emi', 'date', 'is', 'coming']","['requested', 'rbi', 'guidelines', 'picking', 'emi', 'coming']","['request', 'rbi', 'guidelin', 'pick', 'emi', 'come']","['request', 'rbi', 'guidelines', 'pick', 'emi', 'come']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['request', 'rbi', 'guidelines', 'pick', 'emi', 'come']"
6,very bad app not able to upload my documents i don't what is happening with this app but i really disappointed form it,"['very', 'bad', 'app', 'not', 'able', 'to', 'upload', 'my', 'documents', 'i', 'don', 't', 'what', 'is', 'happening', 'with', 'this', 'app', 'but', 'i', 'really', 'disappointed', 'form', 'it']","['upload', 'documents', 'happening', 'disappointed', 'form']","['upload', 'document', 'happen', 'disappoint', 'form']","['upload', 'document', 'happen', 'disappoint', 'form']","[0.0, 0.0, 0.0, -2.0, 0.0]",[-2.0],negative,[],0,['disappoint'],1,-1,negative,"['upload', 'document', 'happen', 'form']"
7,"third class app, i am always paid my loan on time but they dnt consider abt this .. very bad service","['third', 'class', 'app', 'i', 'am', 'always', 'paid', 'my', 'loan', 'on', 'time', 'but', 'they', 'dnt', 'consider', 'abt', 'this', 'very', 'bad', 'service']","['class', 'paid', 'service']","['class', 'paid', 'servic']","['class', 'pay', 'service']","[0.0, -1.0, 0.0]",[-1.0],negative,[],0,[],0,0,neutral,"['class', 'pay', 'service']"
8,my money is not credited to my account but it showing you have to pay the money,"['my', 'money', 'is', 'not', 'credited', 'to', 'my', 'account', 'but', 'it', 'showing', 'you', 'have', 'to', 'pay', 'the', 'money']","['credited', 'account']","['credit', 'account']","['credit', 'account']","[0.0, 0.0]",[0.0],neutral,[],0,[],0,0,neutral,"['credit', 'account']"
9,"extend my moratoirum - in the app i opted for extension and its say if you will opt before 3 june then you will process for extension i choose extension on 30 may and after selecting in the end its say request recevied and after reviewing they will process it so i am waiting from 4 days but no revert till now and even mail you many time but no response from your side so the point i am not going to pay june emi if i opted on time simply i want extension, very soon things will get good.","['extend', 'my', 'moratoirum', 'in', 'the', 'app', 'i', 'opted', 'for', 'extension', 'and', 'its', 'say', 'if', 'you', 'will', 'opt', 'before', '3', 'june', 'then', 'you', 'will', 'process', 'for', 'extension', 'i', 'choose', 'extension', 'on', '30', 'may', 'and', 'after', 'selecting', 'in', 'the', 'end', 'its', 'say', 'request', 'recevied', 'and', 'after', 'reviewing', 'they', 'will', 'process', 'it', 'so', 'i', 'am', 'waiting', 'from', '4', 'days', 'but', 'no', 'revert', 'till', 'now', 'and', 'even', 'mail', 'you', 'many', 'time', 'but', 'no', 'response', 'from', 'your', 'side', 'so', 'the', 'point', 'i', 'am', 'not', 'going', 'to', 'pay', 'june', 'emi', 'if', 'i', 'opted', 'on', 'time', 'simply', 'i', 'want', 'extension', 'very', 'soon', 'things', 'will', 'get', 'good']","['extend', 'moratoirum', 'opted', 'extension', 'opt', 'june', 'process', 'extension', 'choose', 'extension', '30', 'selecting', 'recevied', 'reviewing', 'process', 'waiting', 'days', 'revert', 'mail', 'response', 'june', 'emi', 'opted', 'simply', 'extension']","['extend', 'moratoirum', 'opt', 'extens', 'opt', 'june', 'process', 'extens', 'choos', 'extens', '30', 'select', 'recevi', 'review', 'process', 'wait', 'day', 'revert', 'mail', 'respons', 'june', 'emi', 'opt', 'simpli', 'extens']","['extend', 'moratoirum', 'opt', 'extension', 'opt', 'june', 'process', 'extension', 'choose', 'extension', '30', 'select', 'recevied', 'review', 'process', 'wait', 'days', 'revert', 'mail', 'response', 'june', 'emi', 'opt', 'simply', 'extension']","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[1.0],positive,[],0,['revert'],1,-1,negative,"['extend', 'moratoirum', 'opt', 'extension', 'opt', 'june', 'process', 'extension', 'choose', 'extension', '30', 'select', 'recevied', 'review', 'process', 'wait', 'days', 'mail', 'response', 'june', 'emi', 'opt', 'simply', 'extension']"
