,Sentiment,Comments,Afinn Sentiment,Bing Sentiment
0,0,I will not pay any money in future please keep in mind  because you guys no right to call my reference number that's why I will not pay any money in future keep in mind  my phone is available 24 hours whatever you want to do it do I don't care why you call to my reference number without my information next time if you done same mistake don't expect money in future from me keep in mind whatever you want to talk to me not to my reference number ok,neutral,negative
1,0,"Customer service num not response, My repayment fr every month Advance paided, during corona lock down issue related, so my loan amount paid take time, 31 st may my loan amount paided, bt penalty charges pending, I will try customer support officer no one response my call,",negative,negative
2,0,"Please don't download this app this App , they will threatened you if u miss the payment , Show all ur contact number and says that they will send a reminder about your loan ,",negative,negative
3,0,What the hell is this once I get 1000 loan from this app and when I apply second time there are showing a message that you are not match our criteria what the ffffffkkkkkk,neutral,neutral
4,0,"After making pre closure for all my loan, still have not closed the loan and asking for emi really frustrating i would suggest all my friends to never use this app",negative,negative
5,0,I requested them to call me acc to RBI guidelines . Although they are not picking the call. My emi date is coming,neutral,neutral
6,0,Very bad app not able to upload my documents I don't what is happening with this app but I really disappointed form it,negative,negative
7,0,"Third class app, I am always paid my loan on time but they dnt consider Abt this .. very bad service",negative,neutral
8,0,My money is not credited to my account but it showing you have to pay the money,neutral,neutral
9,0,"Extend my Moratoirum - in the app i opted for extension and its say if you will opt before 3 June then you will process for extension i choose extension on 30 May and after selecting in the end its say request recevied and after reviewing they will process it so i am waiting from 4 days but no revert till now and even mail you many time but no response from your side so the point i am not going to pay June EMI if i opted on time simply i want extension, very soon things will get good.",positive,negative
10,0,"Hi Stashfin, Please get your customer details sorted out. I had never even heard from you guys ever but your mailbox is sending me mails to repay the loan on my official mail which was provided to me last Friday(29th May). Please connect with me and sort this issue out. I have tried the customer care number but it does not give any options to talk to you guys. Also, I am not your customer.I havent any loans from you, if you guys dont stop harassing i will have take legal remedies.",neutral,negative
11,0,"All the companies including yours will charge high rate of intrests and when a customer has paid on time, however they will just show that you are eligible for more after paying on time and waiting for one month they say that you are not eligible will let atleast 10people know that your app is misleading and do not use your service no thanks for your help",negative,negative
12,0,"Stupid application,,, every time I am getting a loan amount,, but I am not able to apply the same,,, once click after that saying I not eligible for a loan,, since from one year I seeing to get a loan,,, they only do marketing can't provide a loan,,,, don't trust this stupid application...",negative,negative
13,0,Very worst app taking high processing fee but processing was very poor very very very worst app please dont install it again 2nd time also i experienced same proble. If you cant provide loan dont waste people time i am not happy with this app dont try to install and dont Dissapoint,neutral,neutral
14,0,Worst app ever . I have applied for loan and got approved but they did not transferred the loan amount . Now I need to repay the amount . This is a fraud application please do not install and apply for loan. Worst app for instant loan.,neutral,positive
15,0,Worst application . I applied for loan and got approved but they did not transferred the loan amount and I need to repay them . Fraud application and please stop this type of fraud . Worst application ever,neutral,positive
16,0,Before i give u 5 star but now...i m giving 1 star...because i try to apply for loan...but everytime it's showing sold out...so i m very disappointed with this...,negative,negative
17,0,Pathetic experience ever Got my loan approved 7days ago but they didn't disbursed the amount till today I suggest not to use this app they are making everyone fool,negative,neutral
18,0,I am going to app..enter my no and open then go to unfortunately stopped ??? I am totally disappointed,negative,negative
19,0,Have so much of trouble with the app. Sometimes due to holiday the amount is getting deducted next day and in the latest app it shows i have missed to pay the EMI on time so cibil score is low. Second is the app shows topup option and if i click on it says you are not eligible and customer support says that it is for selected users only. If it is for selected users then why it is showing for me. I have just 3 EMI left to finish my tenure and after that i am done with moneyview. Thanks,negative,negative
20,0,"Stashfin executives trying to fool, they are not giving moratorium, even they don't answer on mentioned mail id which is mentioned on App and nor picking calls. Everyday new person will call but will not understand anything just trying to fool. These persons saying, will give RBI moratorium when you pay this amount when you pay that amount another person will call you for next Amount, I have paid my march emi but they didn't give me moratorium.",negative,negative
21,0,"Very bad back end people's,. There are login many financial companies, after that they are telling high interest, if we not taken loan, then our Cibil core will down, but they are chiting to all members Because after login they are starting small amount and with all charges, So my dear friends don't download this app. Don't take loan from this company they charging very high interest, and All charges are very high.",positive,neutral
22,0,The loan approval went smooth ..but i not even once skipped paying loan amount even in covid time i cleared all the amount but still iam not eligible to get loan amount ... Very bad experience ill never refer anyone bajaj has good customer care and good service ... I expected lott from this app but yup finally disappointment.ill never refer any one,positive,positive
23,0,"i am done all payment on time but aap is always chet , many time app is cheting not any proper customer suport in online no any proper guide .if payment is done next loan amount is not open when need Ao this type of app is cheted dont west your time.i belive that always fraud this aap to customer.",neutral,positive
24,0,"Horrible intrest rate and fee.. Putting this update after the reply from WhizDM.. you really can't offer intrest rates to someone who just downloaded the app just to check intrest rates without checking their profile, moreover I did not put any details in your app and you still gave me intrest rate..this is called Amazing..",negative,negative
25,0,"Never go for loan from this company..they have no contactability, extremely poor service..in my case I have foreclosed loan 1year back with complete proof and they don't even bother to closed it rather charged penalty and overdues ..they don't respond to mails, given wrong numbers in website...please don't take loan from this company",negative,negative
26,0,there is a emi update error I have paid my emi for April and still it is not reflecting in my account and it shows that they have send me refund and i have not got the refund yet. The customer care doesnot know how to talk and solve the issue.,neutral,neutral
27,0,Not satisfied with the service. Really pathetic service. Even after paying all EMIs on time still they haven't approved my 2nd loan application when I need the most. I will never recommend to any of my friend or relative in future. They are charging higher interest rate. Looting the customer...,positive,positive
28,0,Useless app after 4 steps completed not moving forward no response from customer care number and mail useless fellows looking like fraud. I experienced worst but this is too worst app and didn't have any concern about customer. This is the first and last time I am using this app,negative,negative
29,0,Guys this is total scam I haven't got the money in account apart from 1rs you send initially and your app shows money disbursed where is the money stop this nonsense I want the money I can share my bank statement,negative,negative
30,0,No option for contacting to customer care. They gave mail id to contact but very slow response. Providing phone number to contact to its customer care is better update in future.,positive,negative
31,0,This app just make hay when sunshines....interest rates are very high along with processing fee.....and autodebit stop hitting ....resulting extra penalty charges for consumers....,negative,negative
32,0,Worst app ever don't download it should br report and how play store let us download this app.,neutral,neutral
33,0,My payment is received in bharatpe app but not credit in bank account..,neutral,neutral
34,0,Already signed agreement but not received money In my account 25/05/2020 Fraud,positive,neutral
35,0,Iam using paytm payments bank. It is not showing this bank,neutral,neutral
36,0,Very bad appyou will get shock for a big payment for accepting fraud app.18th may my 54k payment is not settled in my account .I daily call them but they said only your payment will be transferred in 24hours .but last 25days I daily call buy payment is not refunded by Bharat pe.bharat pe your money in danger every payment is not credited to your account.plz refund my money,negative,neutral
37,0,Its bad to say but shubh loan is not capable to provide good cm servise and satisfaction. Im asking for moratotium link from last 10 days . But shubh loan just giving silly and bad answer to my request and mails.its horable.i never suggest anyone to take loan from you...,neutral,neutral
38,0,Very third class app. very frustrating service. I already paid foreclose my loan and also got closing letter. after they deduct loan emi from my account. what the hell is this. And now i am not able to contact with customer care. Very poor service. No customer care connectivity.,positive,negative
39,0,Pls don't use the app this app has not done my settlement of 25774 rs from last three months I have called customer care three times but they ask same questions every time and thereafter no reply from there side plz uninstall app and withdraw ur money fast,positive,neutral
